"objectid","distance_to_city_hall","distance_to_nearest_transit","distance_to_nearest_hospital","distance_to_nearest_school","distance_to_nearest_park","distance_to_nearest_water","distance_to_nearest_bikelane","distance_to_I676","nhoods_name","landuse","LPSS_PER1000","HPSS_PER1000","crime_nn1","crime_nn2","crime_nn3","crime_nn4","crime_nn5"
578622479,1390.75287565524,466.577643903304,501.018486034416,919.170949640973,620.618927558641,4186.72876027891,176.790592226038,660.60824160631,"LOGAN_SQUARE","Transportation",131.86813187,22.52747253,86.7668493195473,123.358952445891,142.842553379129,155.008990691312,162.352169036959
578619116,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578622483,1343.10221102853,497.960460923717,524.767907091173,952.011451247418,651.820958862281,4191.46972234602,183.75259028483,707.714532608348,"LOGAN_SQUARE","Transportation",131.86813187,22.52747253,123.147340926512,139.194150968371,157.4474315418,168.633447374438,176.307720445587
578622487,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578618887,1796.23500501534,1025.33292767106,1787.62113295907,1147.48956577145,478.25331375254,5503.36461187323,390.624108284103,520.857055930449,"CENTER_CITY","Residential High",44.72605293,6.61572866,3.06124928970361,40.9674883726849,53.932208288008,61.304838675445,66.0863056188694
578619683,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578615869,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615870,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615871,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615872,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615873,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578617545,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578615874,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615875,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615877,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615878,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615879,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578615880,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578617083,2651.71275816572,1093.23476366621,1804.26224475053,684.719882617722,349.522967580467,5344.61666350653,65.5934172591109,516.761577970152,"CALLOWHILL","Residential High",32.6549929,4.02271652,3.16368314122539,53.0064143639767,71.1990338843676,82.8310010245221,91.2676665736448
578617559,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578617567,1796.11816674134,878.429050451318,1565.08541675524,966.02055590159,1090.39193033488,5001.12613956432,121.499159322597,1131.46016622172,"CHINATOWN","Commercial Business/Professional",44.72605293,6.61572866,57.8969189365692,79.3837998264557,88.8260666912368,96.018977047576,102.02007900631
578615452,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578617854,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578617855,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578618103,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578617870,2231.98039404757,953.37270966417,2000.25442366734,939.039374340226,647.203299670445,4769.87679597315,148.681915620191,687.719473728283,"CHINATOWN","Residential High",44.72605293,6.61572866,3.09051622351402,28.5823242855388,40.3234984656883,50.2236089835806,56.7322432548001
578617877,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578617912,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
578617913,3374.6699371842,984.386915508462,2412.7762198738,816.915854953577,298.835431223209,5721.5184108363,261.577300651378,1213.87462232543,"CALLOWHILL","Residential High",32.6549929,4.02271652,147.975076908012,169.275204857326,176.426975295428,181.813376878145,186.541493470558
